,Unnamed: 0,VO2,Date,Km,Av_HR_for_Run,run_time,av_cadence
70,70,49.0,2024-01-07,5.52143994140625,138.0,36.11383310953776,176.359375
71,71,49.0,2024-01-06,5.1523798828125,142.0,31.72269999186198,178.671875
72,72,48.0,2024-01-04,5.46310009765625,154.0,35.60718332926432,174.9375
73,73,49.0,2024-01-03,5.4258798828125,147.0,33.22613321940104,176.3125
74,74,49.0,2023-12-31,5.1695,143.0,31.602649943033853,177.703125
75,75,49.0,2023-12-30,10.01641015625,143.0,62.38143310546875,176.96875
76,76,49.0,2023-12-28,5.5865400390625,137.0,35.26259969075521,176.453125
77,77,49.0,2023-12-26,6.70352001953125,139.0,43.17906646728515,173.625
78,78,48.0,2023-12-24,6.27385009765625,140.0,41.01363321940104,174.265625
79,79,48.0,2023-12-23,7.0156201171875,138.0,46.0211669921875,175.21875
80,80,49.0,2023-12-21,6.65935009765625,140.0,42.44181671142578,176.703125
81,81,49.0,2023-12-19,7.26281005859375,147.0,45.185899861653645,176.984375
82,82,49.0,2023-12-16,7.535759765625,144.0,47.61861673990885,175.09375
83,83,49.0,2023-12-14,6.0327900390625,146.0,37.25553334554037,176.015625
84,84,49.0,2023-12-12,5.056,136.0,31.668966897328698,177.171875
85,85,48.0,2023-12-09,7.31964013671875,142.0,47.96586647033691,176.78125
86,86,48.0,2023-12-07,3.5487900390625,139.0,22.50988311767578,177.265625
87,87,47.0,2023-12-05,3.18697998046875,142.0,20.73031628926595,179.25
88,88,47.0,2023-12-03,5.01606982421875,139.0,32.89648335774739,176.125
89,89,47.0,2023-11-29,3.7528798828125,139.0,25.57428334554037,175.703125
90,90,47.0,2023-11-26,3.332840087890625,144.0,20.613016510009764,178.359375
91,91,47.0,2023-11-25,6.66393994140625,148.0,43.55413309733073,172.640625
92,92,,2023-11-23,3.50083,104.0,21.9,
93,93,48.0,2023-11-21,5.0098701171875,141.0,32.33133323987325,176.515625
94,94,47.0,2023-11-19,5.254759765625,150.0,33.35245005289713,174.96875
95,95,48.0,2023-11-18,5.62327001953125,143.0,36.12728322347005,171.375
96,96,48.0,2023-11-16,4.14,146.0,27.343766530354817,173.484375
97,97,48.0,2023-11-14,4.08814990234375,144.0,26.975516764322915,175.921875
98,98,48.0,2023-11-11,3.536909912109375,147.0,22.202133433024088,175.296875
99,99,48.0,2023-11-09,5.25022021484375,141.0,34.75109977722168,173.09375
100,100,48.0,2023-11-07,3.9188701171875,140.0,26.869200134277342,171.421875
101,101,49.0,2023-11-05,2.78475,138.0,17.83780008951823,172.109375
102,102,49.0,2023-11-03,2.3835,140.0,16.071600087483723,172.453125
103,103,50.0,2023-10-10,8.2061796875,143.0,50.26098314921061,177.328125
104,104,50.0,2023-10-09,6.0090400390625,143.0,35.70396678845088,179.703125
105,105,50.0,2023-10-05,9.0023896484375,145.0,56.338250223795576,177.1875
106,106,50.0,2023-10-03,7.0115400390625,142.0,43.62276662190755,175.390625
107,107,50.0,2023-09-30,10.315240234375,142.0,62.751583353678384,178.59375
108,108,50.0,2023-09-28,6.66539990234375,142.0,40.92505035400391,176.6875
109,109,50.0,2023-09-26,7.64,134.0,39.50306650797526,179.75
110,110,49.0,2023-09-23,7.775580078125,140.0,47.52933349609375,175.203125
111,111,49.0,2023-09-21,4.15631982421875,137.0,26.469299825032554,176.109375
112,112,48.0,2023-09-19,4.18164013671875,137.0,26.56473337809245,172.140625
113,113,48.0,2023-09-17,21.338150390625,166.0,118.46258341471354,181.6875
114,114,49.0,2023-09-14,6.66218994140625,139.0,40.145216369628905,178.6875
115,115,49.0,2023-09-12,7.55691015625,143.0,48.543399556477866,175.34375
116,116,49.0,2023-09-10,13.0616201171875,151.0,79.85259958902995,176.0
117,117,49.0,2023-09-07,8.4504296875,149.0,48.83951670328776,178.96875
118,118,49.0,2023-09-05,6.66491015625,143.0,40.739750162760416,177.15625
119,119,49.0,2023-09-03,5.37141015625,148.0,34.661983235677084,179.625
120,120,50.0,2023-08-24,5.81081982421875,146.0,34.64249979654948,177.921875
121,121,50.0,2023-08-22,9.110330078125,144.0,56.813333129882814,177.375
122,122,49.0,2023-08-19,5.09081982421875,143.0,30.6670166015625,178.375
123,123,49.0,2023-08-17,5.0589501953125,145.0,30.66595001220703,178.453125
124,124,49.0,2023-08-15,5.00602001953125,154.0,28.544933573404947,180.28125
125,125,49.0,2023-08-14,8.2544296875,147.0,50.98058319091797,176.125
126,126,50.0,2023-08-12,3.602909912109375,143.0,21.695233662923176,180.15625
127,127,49.0,2023-08-08,5.546830078125,148.0,34.50450057983399,178.71875
128,128,50.0,2023-08-06,3.367639892578125,133.0,20.425266774495444,180.078125
129,129,49.0,2023-08-05,5.14691015625,139.0,32.46371663411458,176.578125
130,130,49.0,2023-08-03,3.33939990234375,135.0,20.737066141764323,177.9375
131,131,49.0,2023-07-29,8.04618017578125,152.0,52.01335042317708,176.296875
132,132,50.0,2023-06-27,5.6617001953125,130.0,34.56358388264974,180.6875
133,133,49.0,2023-06-26,5.46447021484375,131.0,36.45750020345052,179.421875
134,134,49.0,2023-06-25,1.009489990234375,124.0,7.55,164.0
135,135,49.0,2023-06-24,13.129259765625,135.0,84.15976651509602,165.046875
136,136,49.0,2023-06-23,8.22325,136.0,51.938133239746094,177.015625
137,137,49.0,2023-06-23,1.236489990234375,143.0,7.18106689453125,184.84375
138,138,49.0,2023-06-22,11.0066396484375,145.0,69.3382334391276,180.6875
139,139,49.0,2023-06-21,9.2353701171875,148.0,62.43583323160807,177.953125
140,140,51.0,2023-06-20,10.144,140.0,64.54733327229818,179.4375
141,141,51.0,2023-06-19,10.4198203125,146.0,63.936833190917966,181.5625
142,142,52.0,2023-06-17,6.36989013671875,137.0,39.53441670735677,172.234375
143,143,52.0,2023-06-16,13.6492197265625,138.0,80.17381642659505,181.359375
144,144,52.0,2023-06-15,5.65943994140625,133.0,35.57658335367839,179.84375
145,145,52.0,2023-06-14,13.20926953125,136.0,81.54309997558593,180.609375
146,146,52.0,2023-06-13,8.3035595703125,132.0,52.01348317464193,177.125
147,147,52.0,2023-06-12,9.6312998046875,141.0,57.30501658121745,177.40625
148,148,52.0,2023-06-11,5.01589990234375,133.0,29.904633100827535,177.65625
149,149,52.0,2023-06-10,21.155779296875,154.0,115.89815012613931,180.0
150,150,52.0,2023-06-09,8.1845400390625,132.0,49.90815022786458,178.03125
151,151,52.0,2023-06-08,11.1096396484375,130.0,69.26041666666667,177.625
152,152,52.0,2023-06-07,12.0343896484375,140.0,71.25140012105307,182.796875
153,153,52.0,2023-06-06,10.69508984375,140.0,65.28711649576823,178.015625
154,154,53.0,2023-06-05,13.071740234375,138.0,74.61316680908203,182.71875
155,155,52.0,2023-06-04,10.9026298828125,140.0,65.06504974365234,175.46875
156,156,53.0,2023-06-03,14.268349609375,141.0,91.00656636555988,175.828125
157,157,53.0,2023-06-02,16.749369140625,133.0,105.57155049641928,172.265625
158,158,53.0,2023-06-01,6.87243994140625,133.0,40.53459981282552,179.921875
159,159,53.0,2023-05-31,10.57048046875,134.0,63.302433268229166,181.734375
160,160,53.0,2023-05-30,13.234759765625,140.0,76.1829828898112,182.828125
161,161,53.0,2023-05-29,13.7413095703125,133.0,83.48926696777343,176.484375
162,162,53.0,2023-05-28,12.5637197265625,137.0,74.42183329264323,183.078125
163,163,53.0,2023-05-27,6.0703701171875,135.0,37.88404998779297,180.1875
164,164,53.0,2023-05-26,10.0525400390625,130.0,60.14761657714844,182.703125
165,165,53.0,2023-05-25,8.6263095703125,135.0,50.91398315429687,180.21875
166,166,52.0,2023-05-24,11.6648603515625,130.0,71.72706705729166,178.71875
167,167,52.0,2023-05-23,10.4745498046875,136.0,62.02451705932617,182.484375
168,168,52.0,2023-05-22,11.6646298828125,136.0,67.27993316650391,182.78125
169,169,52.0,2023-05-21,12.0110498046875,135.0,74.02538344065348,180.515625
170,170,52.0,2023-05-20,9.01701953125,136.0,55.43426717122396,173.59375
171,171,52.0,2023-05-19,12.2423701171875,139.0,72.6273993174235,178.625
172,172,52.0,2023-05-18,1.206449951171875,129.0,7.287083307902019,181.5
173,173,52.0,2023-05-18,14.0174404296875,130.0,89.13028361002604,173.703125
174,174,52.0,2023-05-17,12.5648701171875,130.0,77.59593302408854,178.796875
175,175,52.0,2023-05-16,7.03081005859375,129.0,46.67286643981934,178.90625
176,176,52.0,2023-05-15,8.467849609375,132.0,54.66718368530273,176.984375
177,177,52.0,2023-05-14,42.91662890625,156.0,229.1304499308268,186.578125
178,178,53.0,2023-05-13,7.15333984375,143.0,41.23136672973633,182.109375
179,179,52.0,2023-05-12,12.038759765625,134.0,70.62063293457031,174.03125
180,180,52.0,2023-05-11,10.70516015625,136.0,65.66410013834636,172.96875
181,181,52.0,2023-05-10,9.5366796875,139.0,55.5364496866862,181.765625
182,182,52.0,2023-05-09,15.5770302734375,144.0,89.16480000813802,183.640625
183,183,52.0,2023-05-08,12.0238095703125,142.0,71.45210048357646,181.015625
184,184,52.0,2023-05-07,11.80358984375,146.0,64.45391693115235,184.796875
185,185,52.0,2023-05-06,6.05493017578125,142.0,35.43346659342448,184.1875
186,186,52.0,2023-05-05,16.84975,143.0,97.37233378092448,182.15625
187,187,52.0,2023-05-04,14.136900390625,140.0,81.45673319498698,182.890625
188,188,52.0,2023-05-03,13.0600595703125,151.0,71.64791730244954,185.5
189,189,53.0,2023-05-02,6.6718798828125,145.0,38.155233001708986,183.328125
190,190,53.0,2023-05-01,12.2443798828125,141.0,69.95180002848308,181.40625
191,191,52.0,2023-04-30,14.0673203125,135.0,83.06325063705444,181.578125
192,192,52.0,2023-04-29,11.0146904296875,132.0,64.66940053304036,178.265625
193,193,52.0,2023-04-28,11.217419921875,140.0,67.02330055236817,180.6875
194,194,52.0,2023-04-27,13.608080078125,149.0,80.11836725870768,181.90625
195,195,53.0,2023-04-26,24.5014609375,139.0,152.25323282877605,169.359375
196,196,53.0,2023-04-25,10.738419921875,133.0,62.63793385823568,182.703125
197,197,53.0,2023-04-24,13.1169697265625,138.0,76.74023348490397,182.796875
198,198,53.0,2023-04-23,12.5088798828125,137.0,69.7984832763672,182.015625
199,199,52.0,2023-04-22,11.38425,132.0,66.280099995931,179.375
200,200,52.0,2023-04-21,11.03275,133.0,65.41648356119792,176.6875
201,201,51.0,2023-04-20,13.1305302734375,133.0,78.37381693522136,177.84375
202,202,51.0,2023-04-19,17.638970703125,144.0,104.03353322347006,181.296875
203,203,51.0,2023-04-18,11.3011298828125,139.0,65.51875,175.0
204,204,51.0,2023-04-17,22.219130859375,142.0,129.03698285420737,181.796875
205,205,51.0,2023-04-16,15.19991015625,136.0,90.30049997965494,182.171875
206,206,51.0,2023-04-15,19.7985,138.0,120.4871831258138,179.0
207,207,51.0,2023-04-14,13.82216015625,140.0,80.80188344319662,180.703125
208,208,51.0,2023-04-13,13.6356396484375,144.0,79.47658335367838,182.28125
209,209,51.0,2023-04-12,10.5836396484375,158.0,63.98516642252604,179.40625
210,210,52.0,2023-04-11,10.0153603515625,137.0,59.18753331502278,182.9375
211,211,52.0,2023-04-10,13.21083984375,138.0,76.94016672770182,182.796875
212,212,52.0,2023-04-09,11.006900390625,132.0,66.89905039469402,182.5625
213,213,52.0,2023-04-08,16.00675,133.0,97.10859985351564,168.46875
214,214,51.0,2023-04-07,17.53126953125,133.0,105.81014963785807,168.96875
215,215,51.0,2023-04-06,10.4092900390625,140.0,62.32656682332357,178.75
216,216,51.0,2023-04-05,13.0258701171875,140.0,80.07365037600199,174.640625
217,217,52.0,2023-04-04,6.9068798828125,136.0,42.48584950764974,179.0625
218,218,52.0,2023-04-04,5.495580078125,142.0,31.977083587646483,184.34375
